Id,y
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,1
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
